Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Netherlands,84200,84800,85900,87500,88700,85100,85300,89100,93300,93100,93800,91700,97000,96000,94600,98700,102600,118100,121700,122200,115000,130500,173200,189800,176800,203100,206000,185700,188200,224400,229386,222539,250114,248246,254647,241084,250811,259827,262848,291713,268542.0058,293885.8398,307221,312910,304795,309089,334240,342097,325942.296
Norway,83600,96500,110700,120900,126900,137700,141700,149700,150000,167800,171100,158800,161100,169400,177100,190500,229900,233300,222600,221400,233500,228000,253700,249800,259200,266500,279500,301500,305100,334500,320753,306511,270045,248403,254045,,,,,,,,,,,,,,
Nepal,11800,11500,11400,12000,12000,11800,12200,12300,12900,16800,17600,17000,16900,16600,19500,20300,20300,16600,24000,25800,25800,23000,22300,21800,25900,27200,28400,28400,28600,12000,12130,12306,4324,4912,5846,6255,6920,6918,6952,6804,45990,44126,34745,30612,19560,19395,24063,58880,71908
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,342,399,116,96,612,707,862,842,842
New Zealand,83600,86600,90600,96900,103700,103400,98100,89100,90200,91500,87700,78000,75000,78600,90500,96200,93100,98700,111500,126500,128300,109200,122900,123600,125800,127600,187400,256800,236100,227500,240046,266139,242720,247388,196657,209469,220990,219243,220375,217178,207872,206937,203388,203520,189722,186209,181125,184762,187851
OECD members,7987400,8124100,8127700,8293600,7708100,7551400,7743700,8084700,8288900,8586600,8561300,8094200,8022600,8337500,8825700,9311200,10020000,10505800,11025900,11164100,11703100,11379700,11774700,11840500,12952800,13629300,14447400,14939500,15099400,16169000,17400838,17169865,15851103,16399251,18220294,18510973,18598081,19125683,18464089,18420521,20075557.24,20174904.3,20026995.45,19996492.39,19994370,20377310,20957925,21182683.92,21692568.37
Oman,,,,,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,10200,10800,11400,12300,11400,14400,16200,18800,15700,17900,17500,16300,22200,22322,23213,23168,27751,31871,,,,,25542,32850,35560,39638,46816,47126,56544,61956,71293,76672
Other small states,,,,,,,,,,,,,,,,,,,108600,111900,120400,128300,126600,136200,148200,153600,158900,171600,177400,180500.001,,,,,,,,,,,304617.0264,319463.0779,358016.4423,356192,,427339,472428,,
Pakistan,44300,34000,23600,24300,26700,32000,37300,39900,43100,45000,45300,40600,41200,43800,45100,48200,52000,53800,60700,62500,66100,65700,69700,70300,69200,69400,70000,73300,68600,74400,63956,52616,41917,44731,50309,48905,51296,51029,52165,50939,64932,72695,72232,61820,57956,65749,70005,51019,48542
Panama,16000,16400,16700,11500,11500,9300,10900,11700,10600,11300,8700,6500,9700,6800,6800,6900,7000,7000,7200,6900,5400,5500,7500,9500,10700,16400,16600,17800,21700,21200,25225,24867,21883,25702,27434,30392,33003,40645,46292,66236,73316.7504,79391,82753,135428,132689.7248,137955,143126,112742,119148
Peru,16500,11800,15300,15300,28900,29300,30900,31200,30300,29900,32100,31700,32200,32400,29900,28800,32100,35600,33600,26000,22100,21500,21200,25000,30600,37300,35200,43200,44800,37300,29387,44487,37482,36947,46917,60819,56072,61958,67840,65885,84408.11532,100131,106167,115817.3964,117800,129786,129880,130792,141025.363
Philippines,95100,69000,65300,66900,62700,67800,70000,63400,58000,61700,48900,48300,51100,56800,57000,57700,62900,67400,71200,74200,70100,63200,65100,60800,61600,64000,64700,65500,61800,40300,44547,60511,57193,56235,56647,58944,61712,65212,72333,87028,205318,225789.6836,241698.559,200532,287460,325859,345482,273159,292450
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,18800,18900,18100,20400,20300,19200,19100,19400,18300,55400,53900,57300,64700,69500,71400,62400,56700,53200,24700,57800,26800,26800,29300,29600,27100,27512,29826,31147,17704,18712,19606,21935,21700,21751,21450,32741,36364.31978,37309.85769,30012,34068,51680,48892,53696,41545.17078
Poland,29500,29400,32100,35200,30800,36900,38200,41000,41500,42700,42700,34100,16400,25800,28800,28400,30700,30200,28900,31500,28600,19600,22400,27600,30500,32100,35900,38300,38400,43800,52371,71799,69842,73137,77690,78992,83451,89289,90031,83053,82630,82052,81194,83336,77094,68326,84075,106424,123903
Pre-demographic dividend,142500,144200,139200,140600,137800,171200,192600,182200,195900,211400,217900,216700,194700,205800,194500,194600,177600,172100,165000,151800,148400,131500,122600,122400,127000,114800,117300,121400,120000,128400,134784,121438,,,,,,,,,304105.7906,338788.5427,335276.1184,368447.772,355316.604,376858,353162,404599.38,449389.6075
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",7600,9100,,,,,,4900,4900,5500,5700,5600,5600,5400,5400,5500,5400,5500,5800,5800,5800,5800,6100,6100,6100,6400,6400,6900,1000,1300,1332,1305,1396,1354,1652,1768,1839,1949,1986,1865,725,732,890,3576,498.340249,483,522,460,460
Portugal,47600,53500,58100,65100,66400,32800,28200,29200,30800,31400,33500,34100,35100,35300,33900,31000,31700,34600,39500,40300,45000,47000,59900,63300,65900,71600,80500,94700,97600,117200,112462,96049,112324,117404,127025,148604,119668,138093,159135,123551,111961.4079,129004,131870,158096,157702,160003,154448,170444,182753
Paraguay,4400,4500,4100,4100,4100,4100,4200,5700,5800,5900,6300,5900,5900,6000,6400,6600,7300,7800,6400,6200,6100,7300,7400,13600,6800,900,10200,4200,4400,8000,7556,8173,8497,8557,9104,10059,9807,10351,10522,9758,6459,6873.73285,6594,6408,5496,4116,3864,3454,4215
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,32500,32200,35000,32300,33100,35900,45500,45600,45400,45400,51700,44600,52800,60700,65400,111300,121400,89300,87674,95413,72759,67062,69538,70306,78717,77907,78100,78761,51069,36808.25228,34691.98417,35340,51276,55485,58321,62670,65161
Post-demographic dividend,7862000,7996500,7982800,8109600,7522800,7372300,7562100,7898000,8100600,8387000,8328300,7901900,7878500,8142800,8615800,9092400,9831200,10310800,10835900,10937400,11438000,11229100,11615900,11684200,12761400,13485000,14270600,14686400,14791900,15678400,16933507,16714073,15385330,15869640,17597666,17822494,17855201,18271239,17590453,17494249,18825974.83,18920390.98,18681652.67,18593551.06,18515193.99,18728288,19131561,19260709.92,19638890.16
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,22600,26652,27049,34364,28370,34931,45964,53327,62689,68818,77178,90819,109525,128402,139869,151703,170582,200927,194389,197811
Romania,6600,6600,6900,8400,13600,13200,15900,22000,17900,18100,18200,12500,17100,18700,22100,23000,24600,23700,23000,24100,22000,20200,16100,18100,21300,22200,17100,25600,15400,17900,23298,20781,17748,26844,30524,38995,42754,51222,55386,57893,61515,57823,51685,43956,42249.8,45596,46733,52063,55637
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,815400,683400,586300,464700,395300,280500,321400,314621,329935,345262,350963,398958,390824,421170,467670,522577,475261,523759,596042,636748,678071,747804,767043,746446,815708,885094
Rwanda,,,,,,,,,,,,1000,3500,3500,3400,3500,900,1900,900,700,500,1500,500,500,500,,,,,,,,,,,,,,,,5867,7265,10410,11532,12096,3205,4314,18134,18439
South Asia,162000,120100,140800,150700,129200,158000,166600,175000,183600,184000,185200,184400,187700,199800,209400,235900,250800,257800,268700,272600,245300,234900,242700,228400,257300,298700,284100,314700,323400,291800,296548,294067,299963,338691,391577,419742,548761,666865,691007,700428,799070.0047,894201.0318,864800.1922,900742.4,966479.12,1026248,1173973,1313166,1512779.275
Saudi Arabia,25200,26400,26000,25000,29500,35500,47700,64800,74500,84100,94400,100400,99000,101400,103700,100500,95500,91000,92700,89900,92700,79000,95100,100000,102500,98100,100700,100300,101100,106900,108981,107984,108598,108322,113329,116280,131528,150521,148335,156500,177608,193536,208986,216636,232908,236468,256635,270924,254063.7469
Sudan,9300,9500,9100,9100,9200,9200,9800,10300,10500,10600,10400,7800,7800,9000,9200,7900,5100,6400,5500,8000,9100,6800,8400,10000,10600,9300,9800,5500,4400,7500,7753,7562,7523,7849,8435,8695,8839,9418,7219,7178,10897,16727.08824,13525.49633,9432,6852,6021,3165,5831,3170
Senegal,4100,4200,4000,4100,4100,4200,4500,4400,4500,4500,5800,5600,5800,6000,6100,6200,3800,3700,3800,3800,3500,4200,4100,4300,4300,4500,4700,4800,3600,2400,2415,2606,6471,2396,6166,6441,0,,,0,0,5251,7730,5808,4044,3656,582,1087,1087
Singapore,27700,31300,30300,21300,22800,23800,25700,27500,30300,32800,32500,29900,29900,34600,29800,31100,31600,32900,34900,32000,30500,35000,39100,43100,46100,51600,57200,60700,61700,68400,71042,72431,72444,64117,76253,77119,84747,87564,91387,83772,131721.9156,144696.8755,157939.3178,165239.07,183398.5576,181563,207203,203615,208787
Solomon Islands,,,,,,,,,,,8500,9200,10000,9600,10700,10900,10700,11100,11100,11100,11100,11100,11100,3800,4000,10400,10800,10800,11000,12500,11481,12496,13011,9745,11512,12318,13883,13640,13649,13529,7388,7048.954611,6659.698359,11352,11532,13107,13711,14365,14365
Sierra Leone,,,,,,1900,3000,3100,3100,3100,3200,600,600,600,3100,3100,3100,1900,1500,700,500,,100,100,200,200,200,0,0,,202,139,138,138,156,164,171,183,181,186,0,2085,2145,,,,,,
El Salvador,8800,9400,8700,8800,9000,9200,9500,12000,11900,8700,8100,8100,9000,8300,9200,9400,9700,9500,9400,9600,10700,12400,14600,15500,18800,20000,20900,19100,19400,32000,37098,26059,19407,22063,23660,23964,24879,22465,21056,19339,20961.27709,24699,26622,29114,31662,28671,28670,27995,27601
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,1900,2500,2600,2700,2800,2800,2800,2700,2800,2800,3000,2600,2200,2300,2600,2400,2700,2800,2500,1600,1600,900,,,,,,,,,,,,,,,,,,,2716.909928,2815,2791,3540,3444,,98,98,98
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,19935,17205,19729,17048,19664,19971,19568,17208,16893,17303,16841,18156,28944,31304,31958,29705,28160
Sub-Saharan Africa (excluding high income),220000,228000,224700,228200,220100,253200,279800,260600,274000,299000,319400,332600,317200,323100,316800,321700,288600,291800,285800,296600,301300,305600,296300,289100,290100,264900,276400,319700,313400,319300,335069,328777,297804,319863,337379,360846,358736,400752,354861,361975,578696.62,624597.4445,649833.2497,689280.772,665781.1268,703831,701537,760811,769232.3475
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,220000,228000,224700,228200,220100,253200,281800,262600,276000,301000,321400,334600,323400,329300,326600,334200,304800,306600,300500,311500,317100,321900,302300,302700,303500,278900,293600,337600,332300,337800,354035,349026,320253,338510,356660,380427,378262,421479,366757,373213,591685.62,638799.4445,661095.2497,703872.772,680337.1268,720955,720715,781350,787903.3475
Small states,,,,,,,,,,158000,183100,186700,218200,233700,249500,275400,278600,276100,287100,289300,292100,310900,312600,320100,345800,363800,361500,395800,413100,417900.001,411009,429522,,,,,,,,,481986.0264,503746.7686,563734.0528,590169,697384,730597,776682,772097,773348.9093
Sao Tome and Principe,,,,,,,,,,,,,,,,300,300,700,700,700,700,700,700,700,700,700,700,800,800,1100,1135,1135,1128,1170,1267,1310,1337,1426,1142,1143,,,,,,,,,
Suriname,,,,,,,1400,1400,2800,3100,3100,3100,2600,2600,2800,2800,800,700,2200,2100,2100,2700,3000,3600,3100,2600,3800,6200,6300,6800,2169,1920,1714,4402,4620,4851,4908,5022,4900,4560,1925,1914.760638,2417.513298,3420,2796,2995,3309,3385,3225
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,1800,1600,2400,3200,3500,5100,5700,2421,1817,4215,6845,12663,13914,14521,23997,24044,32020,2702,990,1439,1824,721.068,70,85,51,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,3900,6700,6900,7800,8000,8600,9900,10900,12082,13220,14881,16402,17310,18071,19505,23165,24477,25478,21840,21370,18141,17212,16557,17931,17825,18488,18444
Sweden,92000,99100,104200,102700,103900,98800,113800,100800,99800,103700,117100,123400,127700,140100,152000,150300,173100,180200,189700,203000,208000,178100,186700,183200,195100,170600,183500,207400,223400,236300,247707,233803,198291,183532,190315,,,,,,,,,,,,,,
Eswatini,,,,600,600,600,600,700,700,500,600,1300,1000,1300,1500,1600,1900,1800,1400,1300,1400,1500,1900,1600,1800,2700,2700,2000,2000,2500,2586,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,2000,2000,2000,2000,2000,2000,6200,6200,9800,12500,16200,14800,14700,14900,15800,16300,6000,13600,13400,14000,17200,17900,18900,18500,18966,20249,22449,18647,19281,19581,19526,20727,11896,11238,12989,14202,11262,14592,14556,17124,19178,20539,18671
Syrian Arab Republic,4200,4300,5400,4500,7600,6800,8300,8800,8600,7900,7600,8900,8400,8200,6800,5500,7000,7300,6500,9600,11200,12900,9700,8400,8800,8900,9000,10700,9100,11200,13959,13580,12975,13953,16325,16815,17082,18909,18960,19229,12699,15455.40762,9670.323511,5424,5424,168,170,165,167.7535302
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,4000,4100,3900,4000,3800,4000,4200,4200,4300,4400,4500,2400,2600,2600,2000,2100,2100,1600,1700,1700,1200,1800,1700,1900,1900,2000,2100,1800,1800,1500,1518,716,,,,,,,,,699.5314484,984,664,72,72,,,,
East Asia & Pacific (IDA & IBRD countries),,,,,305900,335000,352000,350600,359600,405400,414800,454700,473200,484100,586000,598800,632200,694300,759600,735000,798300,817600,883800,903900,1033000,1132000,1297800,1216800,1240700,1148500,1214474,1521532,1613668,1584801,2066109,2217764,2452518,2700805,2796487,3093117,3844008.027,4195951.463,4536353.001,4864727.318,5436093.352,5872686,6431560,6919854.67,7383612.855
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,1061500,961000,898200,771400,691600,583200,660600,677777,725169,713991,759539,827774,856265,931341,1002485,1109461,1114171,1289975.227,1437239.386,1524519.82,1671542.503,1798548.52,1898797,1954498,2078621,2196561.917
Togo,1500,1400,1200,1200,1200,1300,1500,1400,1400,1500,1400,1300,1400,1400,1300,1400,1100,1000,1100,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,8164,10745,10264,11484,10599.37036,9947,10725,10485,11559
Thailand,25600,27300,26600,26900,28800,29700,29500,28400,29000,30800,32600,34100,36800,40000,44200,47400,49600,48300,54600,61800,69500,69800,72700,76200,80700,86500,91700,94900,93500,95400,101591,102414,97750,93576,128178,124347,126845,129703,125907,123541,201306,227322,252368.8984,298450,338053.9817,392664,413880,448477,475886.496
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,3200,3500,2600,2600,2600,3800,3953,4511,5936,7210,8494,6987,2976,7891,8191,9758,5709.668916,7320,6529.896876,6263,7985,6884,6472,4135,4021
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,12500,12500,8700,8700,8800,18500,21858,23963,23963,24460,16316,14094,15602,15590,15665,15337,3221,1617.841311,1440.732194,12871.01661,6068.32,8548,12890,16843,18184
Latin America & the Caribbean (IDA & IBRD countries),696700,663000,675900,689000,728300,749400,770800,756300,766700,859000,933500,918700,1029000,1120000,1162800,1136900,1154500,1175700,1160400,1181100,1192900,1218400,1260800,1353900,1412700,1430600,1498300,1701200,1777500,1938700,1795191,1875770,1720239,1528729,1543862,1611517,1649988,1787182,1755794,1797292,2255941.237,2384451.966,2503306.411,2675506.415,2771753.997,2832631,2757267,2685336,2751003.292
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),105400,112300,121700,139000,154700,165800,191100,197100,203000,189400,185000,184200,187400,213000,210200,199700,211900,208800,220900,225700,223400,211300,218800,224500,233400,229500,249200,277600,271000,271700,296322,356337,297723,340925,333384,360734,391697,412178,382907,419054,556612.1772,530059.4339,511465.2853,556102.5,571311.1416,510478,556552,624693.468,625199.7981
Tonga,,,,,,,,,,,,,,,1200,1200,4500,5900,4800,4800,4300,4300,4300,4300,4800,4800,5200,3700,3700,3800,3814,4157,4323,4453,5255,,,,,,,,,,,,,,
South Asia (IDA & IBRD),162000,120100,140800,150700,129200,158000,166600,175000,183600,184000,185200,184400,187700,199800,209400,235900,250800,257800,268700,272600,245300,234900,242700,228400,257300,298700,284100,314700,323400,291800,296548,294067,299963,338691,391577,419742,548761,666865,691007,700428,799070.0047,894201.0318,864800.1922,900742.4,966479.12,1026248,1173973,1313166,1512779.275
Sub-Saharan Africa (IDA & IBRD countries),220000,228000,224700,228200,220100,253200,281800,262600,276000,301000,321400,334600,323400,329300,326600,334200,304800,306600,300500,311500,317100,321900,302300,302700,303500,278900,293600,337600,332300,337800,354035,349026,320253,338510,356660,380427,378262,421479,366757,373213,591685.62,638799.4445,661095.2497,703872.772,680337.1268,720955,720715,781350,787903.3475
Trinidad and Tobago,12500,10300,9400,9000,8000,12100,13600,11800,8300,12200,15100,13700,24200,23200,23300,22800,25000,20000,21300,21800,21500,23400,23100,23900,28000,29400,13700,12400,12500,20900,25982,27908,23076,17731,17483,14298,13878,14703,15017,14247,28909,36648.07379,36648.07379,36564,36216,35127,29892,32589,32770
Tunisia,6600,5700,6900,8600,9500,11200,11300,10800,11300,12500,12300,13500,13800,13700,13800,13800,11200,13000,12500,13100,12900,12300,12500,13300,14400,14900,13800,17200,19700,20100,19907,19385,18538,18738,20554,21268,21715,21734,24385,24225,31098,32179.9169,37233,48804,60419,35540,38631,39856,41446
Turkey,28700,32000,34700,36700,30600,27200,32000,33400,30400,31400,18900,25300,24000,24600,28400,31600,31700,32900,36800,38300,44200,38600,58600,70500,75100,78500,84900,92800,103900,111400,119945,111342,105996,104377,121815,145952,177088,197132,215275,271835,369174,420222,476115,568212.3966,628104,706067,743673,742260,772925.545
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,10500,10000,9600,11500,9000,13700,14900,4100,8900,13000,17500,18700,13400,11800,10400,13800,11200,12300,12100,8000,7500,9400,7500,5700,5400,5600,6100,6000,6100,5000,5973,4360,4401,6082,6441,6062,5068,5457,5460,21088,21825,26332.30059,28130.47207,27625.772,31106.181,35374,27422,47741,51577
Uganda,10500,10100,7300,1700,1200,2200,2800,,,,1500,2700,2800,3100,2100,1100,1800,1700,1200,2000,2000,800,500,1500,1500,900,900,900,900,3000,263,266,263,263,302,317,330,353,349,359,6290,4879,5990,8616,6864,2332,3828,1953,4832
Ukraine,,,,,,,,,,,,,,,,,,,,,,,45400,26400,11400,22600,27700,30600,29800,29500,27973,32864,26859,39778,42374,41911,48562,30029,52509,58756,66038,76652.26818,73378.94262,58474.09,47927.4,45688,55261,63315,66712
Upper middle income,,,,,1017600,1058800,1107600,1095600,1114800,1236700,1308900,1293800,1411500,1531500,1602800,1566000,1604300,1671400,1702600,1734000,1816800,1807100,1887200,2929600,2960600,2947600,3006300,3195400,3158500,3387800,3300475,3760083,3669346,3534000,3940129,4202724,4518399,4961970,5056362,5413618,6492562.395,6938104.93,7415254.349,8117763.686,8731225.819,9250521,9587203,10178711.14,10646864.48
Uruguay,6800,7000,4800,5000,10400,10400,12200,11900,10900,11900,13000,11000,10500,8500,8500,8100,5600,5800,5200,7700,5000,5000,5100,8500,9000,9000,6700,8200,9900,10300,10852,9550,8404,7032,8343,8934,8666,9186,9388,8731,,,,,,,,,
United States,5099200,4999200,4985200,5058200,4650400,4576100,4690500,4795900,4857000,5041800,4962700,4628300,4572100,4810900,5206200,5553900,6106000,6398000,6628500,6522100,6848600,6623900,6578100,6427800,7250000,7682200,8031800,7942900,7824400,8511400,8820878,8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,10095197,10057768,9864360,9745498,9556324,9498668,9640591,9639096,9879630
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,15600,16200,11500,11500,11700,30800,30075,39673,22543,22325,22698,22183,21514,22265,22406,23176,22924,23773,24328,23962,23149,22579,21486,21730,21514
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",70100,65600,68900,75500,74000,78300,77500,82200,85100,136200,125200,119500,124700,129900,127200,97900,96700,88000,102700,115200,82000,81100,97700,107100,94200,80300,82800,72700,67400,130200,138500,223075,166807,110062,123232,135574,139671,140774,137900,123646,84065,83106,78583.16238,92813,90235,73509,64058,43138,24986
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,39600,24100,20300,18200,16000,4500,,,,,200,600,600,1600,1600,1800,1800,1800,1800,1800,1800,3700,3700,16800,21200,27100,27800,33500,29700,29000,28999,35658,42588,41996,50855,54415,50840,60218,74739,83720,109176,135905.6729,135300.4141,149527.817,167386.363,205217,248580,264548,283787
Vanuatu,,,,,,,,,,,,,400,400,300,200,300,300,300,300,300,600,700,1100,1300,1600,1600,1700,2100,1300,1402,1446,1547,1211,1477,1580,1643,1742,1775,1667,17212,11218.29767,11905,12144,10848,10425,9037,12287,11723
World,9448300,9504500,,9764900,9254900,9244700,9562900,9915900,10183700,10653400,10704900,10270100,10335800,10758700,11404000,11897900,12677000,13244800,13880900,14021100,14583900,14360900,14918800,15986200,17218900,18008200,18953600,19546600,19653200,20736600,22008658,22264220,20817389,21282617,23752616,24215712,24829383,26016011,25498093,26122523,29637929.54,30564978.1,30771384.59,31464398.88,32339781.98,33362839,34687965,35703836.06,36999575.18
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,1200,9900,10700,10877,11802,12317,9010,10691,11439,12752,12658,12699,12492,,,,,9144,11759,13805,6098,6848
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",2200,2800,2900,3000,3100,3100,6800,7000,7100,7100,9200,9300,7900,9500,9900,9900,15300,13700,14600,13800,14100,11300,13900,13100,12400,4900,11800,7000,7300,7800,14608,14973,15495,14706,16746,17306,18843,14403,14462,14652,20600,20176.72853,16807.4073,16932,16056,5126,4538,1669,2342
South Africa,39800,46000,47600,47800,55700,58600,59400,58500,58100,63100,64600,69800,70100,64100,67200,64200,51000,55800,60800,81200,84000,78600,79900,93700,89300,74300,88400,102200,93200,103800,110392,122561,116985,130938,133222,148146,146648,152550,156567,151292,190441,191506.8663,197817.3003,184763,199600.5228,209734,212865,216275,180317.186
Zambia,9300,10600,10800,10000,10000,11200,12800,9300,10500,9200,6800,5400,6500,6000,5700,4700,4900,5400,5600,2900,6500,2800,2700,4200,4300,,,1200,1200,5400,6118,4886,4875,5214,5825,5965,6013,6396,4361,,9730,11497,8288,7997,8050,11130,8094,9020,734
Zimbabwe,10400,10800,10800,11400,,,,,,,10900,11100,11100,10800,10600,9400,8900,8800,9700,10000,10300,13300,13500,11000,9800,9900,10000,17700,17800,15300,13603,8848,5050,3950,4269,4410,6819,7272,5917,5937,7077,10020.70561,11560.36785,27684,3730,4145,4231,3444,3444
